,RegionID,RegionName,City,State,Metro,CountyName,Lat,Lng
0,269381,Midtown,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.783315,-84.3831166
1,269306,Downtown,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.755711,-84.3883717
2,269397,Old Fourth Ward,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7639588,-84.3719735
3,269391,North Buckhead,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8526562,-84.36537539999999
4,274592,Morningside - Lenox Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7961556,-84.3594626
5,403405,Pine Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8375365,-84.3515759
6,269345,Home Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7845319,-84.402823
7,275890,Virginia Highland,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7817345,-84.3635127
8,129705,Kirkwood,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7533401,-84.3262185
9,399508,Georgia Tech,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7756178,-84.39628499999999
10,403406,Lindbergh,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8258116,-84.3670983
11,274926,Ormewood Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7333284,-84.35551939999999
12,128368,East Atlanta,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7366044,-84.3357992
13,273604,Edgewood,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.755401,-84.34072479999999
14,403426,Lindridge - Martin Manor,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8184435,-84.3516604
15,269325,Garden Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.832816,-84.3778787
16,272817,Inman Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7598271,-84.3578289
17,269406,Peachtree Heights West,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.836317,-84.3877851
18,269447,Underwood Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8120056,-84.4307072
19,269285,Candler Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7648643,-84.341752
20,128381,East Lake,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7475043,-84.30028639999999
21,269298,Chastain Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8730719,-84.3988806
22,276516,Poncey-Highland,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7695296,-84.35551939999999
23,269439,Summerhill,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7367804,-84.38414089999999
24,276600,Sweet Auburn,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7537814,-84.376547
25,269407,Peachtree Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8180468,-84.3818027
26,269361,Lake Claire,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.76396860000001,-84.3252791
27,269402,Paces,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8453536,-84.4478864
28,127407,Brookhaven,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8650186,-84.33712659999999
