,RegionID,RegionName,City,State,Metro,CountyName,Lat,Lng
52,269374,Margaret Mitchell,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8357889,-84.4356468
53,269389,Niskey Lake,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7161572,-84.53139320000001
54,131406,Rockdale,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.6752492,-84.0378894
55,269378,Meadowbrook Forest,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.6933122,-84.50321029999999
56,269262,Ben Hill Acres,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.6956061,-84.50779910000001
57,403413,Woodfield,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.5720551,-84.2938114
58,403436,Fairburn Road - Wisteria Lane,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7515594,-84.51304309999999
59,403455,Fairburn Tell,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.5670562,-84.5810418
60,269322,Fernleaf,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8211423,-84.44253789999999
61,269303,Colonial Homes,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8102948,-84.39493999999999
62,403469,Oakland,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,32.45681090000001,-84.5374218
63,403430,English Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7930616,-84.4914087
64,403457,Niskey Cove,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7084655,-84.530738
