RegionName,StateName,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
"Valdosta, GA",GA,2.48,0.92,0.46,0.55,1.1,1.93,3.39,4.4,5.69,5.96,6.79,6.24,5.41,3.94,2.84,3.12,4.5,5.05,5.32,4.59,4.77,5.14,6.42,6.88,7.8,7.71,7.34,6.06,6.61,7.06,8.26,8.62,8.72,8.53,8.07,7.98,7.43,7.52,7.16,7.61,8.35,9.08,9.91,10,9.82,9.63,8.99,8.9,8.44,7.89,7.25,8.17,8.81,9.27,9.36,9.45,9.72,9.54,9.17
"Brunswick, GA",GA,3.49,4.95,4.59,5.05,4.4,5.14,5.23,5.41,5.32,4.13,2.57,1.74,1.65,2.94,4.31,6.15,6.51,6.79,5.96,3.94,3.12,2.66,3.3,2.84,3.39,3.85,6.7,7.25,8.26,7.8,7.71,7.43,8.62,8.9,8.99,8.53,8.35,7.89,8.17,8.72,9.08,8.81,8.44,8.07,7.61,7.34,7.06,6.61,4.86,3.67,4.77,5.69,6.33,5.5,6.06,6.88,7.16,6.24,4.68
"Rome, GA",GA,3.58,2.2,1.74,1.93,4.22,6.06,5.5,3.39,3.03,3.49,3.21,2.94,1.56,0.92,0.83,1.01,1.65,2.48,3.85,5.6,6.61,7.34,7.52,7.61,7.25,6.42,4.59,5.78,6.79,7.89,8.17,7.98,8.07,8.35,8.62,8.81,8.44,7.8,6.88,7.43,8.53,9.45,9.82,9.63,9.27,9.17,8.72,7.71,6.7,6.97,8.26,8.99,9.36,9.72,10,9.91,9.54,9.08,8.9
"Hinesville, GA",GA,5.5,4.68,2.84,2.75,4.13,5.14,4.95,3.39,3.85,6.06,8.72,8.9,8.81,6.7,4.4,2.66,3.21,3.58,5.23,6.42,7.61,7.34,6.33,5.41,3.76,3.49,2.57,2.48,2.94,4.5,6.24,6.51,7.06,6.15,5.05,3.94,3.67,4.22,4.59,4.86,5.32,5.6,6.79,5.87,6.61,5.69,6.88,7.71,8.17,8.44,7.98,8.26,8.35,8.62,7.8,7.43,7.16,7.52,7.25
"Statesboro, GA",GA,4.77,3.67,2.75,2.94,4.5,7.25,7.61,6.79,6.33,5.96,5.87,3.58,2.02,0.73,0.55,1.01,3.03,4.4,4.59,5.69,7.43,8.17,7.89,5.6,2.84,1.93,1.38,2.66,4.86,7.34,8.62,8.81,8.99,8.26,7.71,6.7,5.78,4.68,6.42,7.98,9.82,10,9.91,9.54,9.17,8.35,7.06,6.06,4.95,6.15,6.24,6.97,7.8,8.53,9.08,9.36,9.45,9.63,9.27
"LaGrange, GA",GA,3.12,3.03,2.94,2.57,2.84,3.58,4.68,4.95,5.05,4.4,3.39,2.66,2.75,3.3,3.94,5.96,6.42,7.06,6.79,6.88,6.7,6.15,5.87,5.32,6.06,7.34,7.52,7.25,6.61,6.51,7.16,7.43,7.71,8.35,9.45,9.91,10,9.82,9.63,9.08,9.36,8.81,8.72,8.99,9.72,9.54,9.17,8.62,8.9,9.27,8.26,8.07,7.8,8.44,8.17,7.89,7.61,7.98,8.53
"Jefferson, GA",GA,7.16,6.51,4.86,6.24,3.3,2.39,1.65,2.02,2.48,4.13,5.32,4.68,3.12,1.83,1.74,2.29,4.4,4.95,5.23,3.76,2.2,1.19,0.83,0.73,1.1,1.93,2.57,3.49,2.75,2.66,3.39,4.77,6.97,7.34,7.06,5.14,3.21,2.94,4.31,6.79,6.88,5.5,6.06,7.61,8.62,8.99,8.53,7.8,7.52,6.61,5.69,3.58,3.94,4.22,5.78,5.87,5.6,5.05,6.15
"Dublin, GA",GA,2.57,3.49,2.94,4.04,4.31,5.41,5.14,6.24,6.33,6.51,6.7,6.15,5.87,4.86,5.78,5.69,4.95,5.5,5.6,6.06,5.96,6.42,6.97,7.34,8.44,8.07,8.72,9.17,9.91,9.72,9.82,10,9.63,9.45,9.54,8.9,8.62,7.52,7.06,6.88,6.79,7.16,7.43,7.61,7.98,9.27,9.36,9.08,7.71,7.8,8.17,8.99,8.81,8.53,8.35,8.26,7.89,7.25,6.61
"Calhoun, GA",GA,3.3,1.47,1.19,1.56,3.12,5.5,5.32,4.4,2.84,2.11,2.2,2.48,3.39,3.21,2.66,1.74,1.65,1.93,4.13,5.6,6.33,7.16,7.34,6.79,5.78,4.22,3.76,4.68,6.42,8.07,9.17,9.45,9.63,8.72,8.62,7.71,8.81,8.35,8.44,8.99,9.27,9.72,9.91,10,9.82,9.08,8.17,8.53,9.54,9.36,8.9,7.06,7.61,7.43,8.26,7.25,7.8,7.52,7.98
"Milledgeville, GA",GA,2.02,0.92,1.01,0.73,1.38,1.28,1.65,1.19,1.47,1.74,3.03,5.6,7.61,7.98,6.42,6.51,5.5,7.06,6.97,6.7,3.76,3.3,3.49,6.61,7.71,8.62,7.16,4.77,2.39,2.29,2.66,3.58,4.04,4.59,5.78,5.41,4.95,3.12,2.2,3.21,8.35,9.17,9.27,9.08,8.99,8.81,8.72,7.34,4.68,3.39,4.13,5.69,4.5,2.84,2.11,2.57,4.4,6.06,8.17
"Waycross, GA",GA,6.15,3.76,1.19,1.1,2.94,5.78,7.89,6.79,6.61,4.86,5.05,4.22,3.94,2.84,1.93,2.02,1.65,2.2,3.03,4.13,5.96,5.5,4.95,2.75,1.74,1.01,1.47,2.48,4.4,6.7,7.16,7.71,7.98,8.35,8.26,8.17,8.44,7.52,6.33,6.24,7.34,8.72,9.17,9.54,9.36,9.63,8.9,8.07,7.06,8.62,8.99,9.27,9.08,8.81,9.45,9.72,9.91,10,9.82
"St. Marys, GA",GA,3.76,3.67,3.58,5.96,8.26,9.54,8.99,8.53,8.35,7.98,8.17,8.07,8.44,7.89,6.61,5.5,5.05,4.86,5.32,4.5,4.77,5.6,5.41,4.31,3.94,3.49,3.85,4.13,4.59,6.15,7.25,7.52,7.16,6.51,6.7,6.88,7.61,7.8,9.08,9.82,10,9.91,9.72,9.45,9.63,9.36,8.72,7.71,6.79,7.34,6.97,6.33,6.06,7.43,8.62,8.9,8.81,9.17,9.27
"Thomasville, GA",GA,3.12,2.39,1.47,0.83,0.73,1.1,2.48,3.94,6.42,7.25,7.8,7.43,6.61,5.78,4.5,2.75,2.84,4.4,5.87,6.33,6.79,6.97,5.96,4.04,2.2,2.66,4.13,3.3,4.22,4.59,6.7,7.06,8.35,9.54,9.36,8.44,7.89,8.07,8.26,8.62,9.17,9.45,9.08,8.53,8.17,7.52,6.88,5.23,2.57,1.93,3.85,6.15,7.98,8.81,9.63,8.72,7.61,7.16,7.34
"Cornelia, GA",GA,5.69,7.34,7.61,7.52,7.8,7.06,5.5,4.04,3.3,2.57,3.03,4.31,5.32,5.96,5.14,3.67,3.12,3.76,5.23,6.7,7.98,7.16,6.61,5.87,6.24,6.42,6.15,5.41,4.95,5.6,6.33,7.71,8.07,8.72,8.81,8.44,8.26,7.43,8.35,7.89,8.99,9.63,10,9.72,9.45,9.91,9.82,9.54,9.17,9.27,9.08,8.9,8.53,8.17,6.88,6.97,7.25,8.62,9.36
"Cedartown, GA",GA,7.34,6.97,4.95,4.5,3.76,5.78,5.41,4.22,2.57,2.11,2.29,2.39,1.74,1.38,0.55,0.37,0.18,1.01,1.83,3.3,5.05,5.6,6.51,6.7,7.16,5.87,4.68,3.85,4.4,6.24,7.52,8.53,8.99,8.62,8.35,7.71,7.61,7.43,7.98,8.44,8.9,9.36,9.63,9.82,10,9.91,9.72,9.45,8.26,7.25,7.8,8.17,9.27,9.17,9.54,9.08,8.81,8.07,8.72
"Tifton, GA",GA,2.57,2.48,2.02,2.39,2.29,4.95,6.88,8.35,8.17,7.8,6.79,6.61,6.7,5.23,1.74,0.83,0.64,1.28,3.21,6.24,5.41,6.42,6.51,7.71,7.52,7.61,6.06,4.77,4.86,7.06,8.07,8.62,8.81,8.99,8.53,7.89,7.16,8.26,8.72,8.9,9.27,9.36,9.54,9.45,9.08,7.43,5.6,5.96,7.34,4.59,3.58,2.66,7.98,9.17,9.72,10,9.91,9.82,9.63
"Americus, GA",GA,2.02,2.29,2.11,3.12,4.22,4.95,4.31,3.21,2.48,2.94,3.94,5.69,4.13,2.75,0.83,0.55,1.28,3.76,7.43,6.15,3.49,1.93,4.04,6.97,7.71,5.96,2.57,1.65,1.74,3.03,4.4,6.33,6.79,6.51,5.5,4.59,4.5,5.6,7.52,8.44,8.53,7.61,4.77,3.58,4.86,6.7,7.16,6.42,5.87,5.23,4.68,5.78,6.88,7.98,8.07,7.89,8.17,8.26,8.81
"Thomaston, GA",GA,5.05,4.22,3.3,3.58,6.33,8.17,9.72,9.36,8.35,6.51,5.87,6.24,6.97,2.84,1.19,0.46,0.73,1.47,2.11,2.02,1.93,1.38,1.74,1.1,0.64,0.18,0.09,0.37,0.92,1.83,2.75,5.96,7.61,7.52,6.7,6.15,5.69,4.5,4.04,3.67,4.95,4.77,6.06,8.07,9.45,10,9.63,9.54,8.53,7.43,6.79,7.8,9.08,9.91,9.82,8.9,8.99,8.72,9.17
"Toccoa, GA",GA,0.18,0.09,0.46,2.84,5.78,6.33,4.59,3.58,2.48,2.66,1.83,2.11,2.57,4.04,2.94,1.56,1.19,1.93,3.76,5.5,5.69,5.05,4.4,4.68,3.49,3.85,2.39,2.02,1.01,3.03,4.86,7.43,7.61,8.07,8.35,8.17,8.62,7.8,7.71,7.98,9.36,9.82,9.91,9.17,8.26,7.25,6.61,4.95,4.22,4.13,3.67,4.31,7.06,8.9,9.72,8.99,8.53,8.44,9.08
