RegionID,RegionName,SizeRank,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
102001,United States,0,204708,203742,202810,200931.3333,199143.6667,197420,195791.6667,194096.3333,192482.6667,190852,189101.6667,187248.3333,185346.6667,183724.3333,182129,180610.6667,179142,177922.3333,177018,176306.6667,175702,175239.6667,175059.6667,174976.3333,174864,174605.6667,174402.3333,174338.6667,174234.3333,173948.6667,173302.6667,172560,171666,170753,169721.3333,168732,167726,166738.3333,165762,164752.6667,163767,162914,162358.6667,161999,161717.3333,161348.3333,160982.3333,160599.6667,160335.3333,160124,160174.6667,160386.3333,160791.6667,161237.3333,161789.3333,162411.3333,163075,163770.6667,164520.3333,165303,166208,167156.6667,168254.6667,169375.3333,170610.3333,171926,173327.3333,174720.6667,176041.6667,177262,178338,179316.6667,180246.3333,181144.3333,181858,182415,182947.6667,183558.3333,184171.3333,184688.6667,185178.3333,185759,186463,187228.3333,187977.6667,188757.6667,189611.6667,190475,191347.6667,192131.6667,192883.6667,193672.6667,194500.3333,195342,196133,197048,198045.6667,199073,199944,200853.3333,201743,202681.6667,203572.6667,204475,205414.6667,206412.3333,207526,208668,209808,210926,212070,213272,214418.3333,215524.3333,216501,217502,218588,219786.3333,221061,222375.6667,223684.6667,225040.3333,226359.3333,227658.6667,228843.6667,229896.6667,230837,231725.6667,232601,233463.6667,234337,235257.6667,236241.3333,237154,237945.3333,238624.6667,239270,239882,240460.3333,241057,241730.6667,242470.6667,243225.3333
394347,"Atlanta, GA",9,193619,192713,191834,190368.3333,189135.3333,188028,186794.6667,185446.6667,184112.3333,182431.6667,180012.3333,176983.3333,173978.3333,171282,168733,166065,163654.6667,161758,160569.6667,159722.6667,158865.3333,157787.3333,156828,156340.6667,155733.3333,155139.3333,154382,154212.6667,154072,153729.6667,152311.6667,150485.3333,148129.6667,146225,144211.6667,142580.3333,140863,139544.3333,137882.3333,136047.6667,133675.6667,131615,130108,129536,129527.6667,129571,129335.6667,128314.6667,127704,127165.6667,127852.3333,128485,129389,130314.3333,131361.6667,131955.3333,131928.3333,132066,132901.3333,134047,135512.3333,137106.6667,138952.3333,140566.3333,142373,144291,146308,148531,150828.6667,153036.6667,154881.6667,156770.6667,158374.3333,159783.6667,160795.3333,161759.3333,162655,163453.3333,164459,165264,166075.3333,166744.3333,167554,168459.3333,169391,170210.6667,170828.6667,171595.3333,172667,173864.6667,174714.3333,175518.3333,176359.3333,177204.6667,178114.3333,179059.3333,180300,181461.3333,182816.6667,184186,185395.6667,186177.6667,186722,187248.3333,187778.6667,188742.6667,189983,191723,193032.6667,194422.6667,195515.3333,196735.6667,197944.6667,199282,200683,201768,203277.6667,204709.3333,206509,208429.6667,210569,212628.3333,214102.3333,215491.3333,216806,218184,219594,220951.6667,222506.6667,224111.3333,225697,227125,228236.6667,229316,230491.3333,231669.6667,232602,232897.6667,233357.6667,234031.6667,235044,235879,236768.6667
269439,Summerhill,4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249164,247056,244733,241804,240184.3333,239789.6667,238295,236466.6667,235308.6667,235179.6667,235429,235507,236393,237904.3333,240923,242432,243241.3333,243672.6667,245479,248531,249093,249605.3333,249329.6667,250567.3333,251948.6667,254048.6667,256433.3333,258576.6667,260966.3333,262918.6667,264617.6667,265665,268264.3333,271027.3333,274868,278200.6667,280886.6667,281151.3333,280583.6667,281728.3333,285846.6667,290951.6667,296139.3333,301156.6667,306589.6667,310538.6667,313715,316178.3333,319960.3333,324386.3333,329993,334223.3333,336326.3333,337328.6667,339897.6667,341858,344272.6667,347799.6667,352489,357064,359766,363067.3333,364086.6667,365395,364949.3333,364914,364046,364488.3333
